Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
christmas came and as usual she received number0 gifts to put under the christmas tree . she wanted to make other kids happy so she sent number1 of her gifts to the orphanage downtown . how many gifts were left under their christmas tree ?,77 66,- number0 number1,11.0,"[1, 6, 7, 8, 41, 42, 43, 25, 26, 27]",3,Subtraction,christmas came and as usual she received number0 gifts to put under the christmas tree . she wanted to make other kids happy so she sent number1 of her gifts to the orphanage downtown .,how many gifts were left under their christmas tree ?
alicia loves collecting art . she has a whole house filled with all the art she obtained since she was a little kid . when she decided to move away she started donating some of her art to different museums . first museum she went to was the metropolitan museum in new york . she donated number0 medieval art pieces from the number1 she originally has . how many medieval art pieces were left with her ?,46 70,- number1 number0,24.0,"[1, 2, 3, 73, 74, 75, 55, 56, 57, 59, 61, 62, 63]",3,Subtraction,alicia loves collecting art . she has a whole house filled with all the art she obtained since she was a little kid . when she decided to move away she started donating some of her art to different museums . first museum she went to was the metropolitan museum in new york . she donated number0 medieval art pieces from the number1 she originally has .,how many medieval art pieces were left with her ?
the next museum on her list is the guggenheim in new york as well . there she gave number0 sets of egyptian mask from her collection of number1 how many sets of masks were left in alicia 's collection ?,51 90,- number1 number0,39.0,"[1, 2, 36, 37, 38, 17, 18, 19, 26, 27, 28]",3,Subtraction,the next museum on her list is the guggenheim in new york as well . there she gave number0 sets of egyptian mask from her collection of number1 how,many sets of masks were left in alicia 's collection ?
after new york she decided to visit the smithsonian in washington dc . if she has number0 miniature aircrafts and she gave away number1 to the national air and space museum how many are left with her ?,63 49,- number0 number1,14.0,"[2, 34, 4, 35, 36, 15, 16, 17, 18, 22, 23, 24]",3,Subtraction,after new york she decided to visit the smithsonian in washington dc . if she has number0 miniature aircrafts and she gave away number1 to the national air and space museum,how many are left with her ?
she also decided to contribute to the collection of the museum of natural history . after donating some of her bug collection she was left with number0 bug species . if she originally has number1 bug species how many did she donate ?,39 98,- number1 number0,59.0,"[33, 34, 35, 36, 3, 39, 40, 41, 25, 26, 27, 28]",3,Subtraction,she also decided to contribute to the collection of the museum of natural history . after donating some of her bug collection she was left with number0 bug species . if she originally has number1 bug species,how many did she donate ?
her last stop was the post office . there she sent her rock collection to the geological museum in london . she was left with her number0 favorite stones after sending away a part of her collection . if she originally has number1 stones in her collection how many did she send away ?,15 78,- number1 number0,63.0,"[3, 6, 41, 42, 43, 50, 51, 52, 25, 26, 27, 28]",3,Subtraction,her last stop was the post office . there she sent her rock collection to the geological museum in london . she was left with her number0 favorite stones after sending away a part of her collection . if she originally has number1 stones in her collection,how many did she send away ?
jasmine also bought some chips for her friends in which she got for a discount of $ number0 . if the chips originally cost $ number1 how much did she actually spend on chips ?,17.00 35.00,- number1 number0,18.0,"[32, 33, 4, 16, 17, 24, 25, 26, 31]",3,Subtraction,jasmine also bought some chips for her friends in which she got for a discount of $ number0 . if the chips originally cost $ number1,how much did she actually spend on chips ?
when she came back to her mother she returned $ number0 worth of change . from the initial $ number1 that her mom gave her how much money in total did she spend on buying groceries ?,27.00 100.00,- number1 number0,73.0,"[33, 2, 34, 35, 9, 10, 11, 18, 19, 20]",3,Subtraction,when she came back to her mother she returned $ number0 worth of change . from the initial $ number1 that her mom gave her,how much money in total did she spend on buying groceries ?
it 's basketball season in ashford elementary school . chuck the team captain of the blue team is feeling nervous about it . their first opponent is the red team composed of other number0 graders gave them a hard time . if they lost by number1 points and the red team scored number2 points what is their team 's final score ?,3 13 61,- number2 number1,48.0,"[32, 33, 34, 10, 45, 46, 47, 52, 53, 54, 58, 59, 60]",3,Subtraction,it 's basketball season in ashford elementary school . chuck the team captain of the blue team is feeling nervous about it . their first opponent is the red team composed of other number0 graders gave them a hard time . if they lost by number1 points and the red team scored number2 points,what is their team 's final score ?
feeling sad about their loss on their first game chuck and his teammates were determined to win on their next match against the yellow team . they scored number0 points and the yellow team scored number1 how large was their lead ?,72 55,- number0 number1,17.0,"[1, 34, 35, 36, 38, 39, 40, 27, 28, 29]",3,Subtraction,feeling sad about their loss on their first game chuck and his teammates were determined to win on their next match against the yellow team . they scored number0 points and the yellow team scored number1,how large was their lead ?
their next opponent was the green team . if their final score is number0 points and they led by number1 points what is green team 's final score ?,68 29,- number0 number1,39.0,"[12, 13, 14, 18, 19, 20, 25, 26, 27]",3,Subtraction,their next opponent was the green team . if their final score is number0 points and they led by number1 points,what is green team 's final score ?
with the win streak that they have chuck 's team was able to get into the playoffs . they reached the semi-finals where they played against the black team . if they finished the game with number0 points and won it by number1 points what is the black team 's final score ?,83 18,- number0 number1,65.0,"[35, 36, 37, 41, 42, 43, 49, 50, 51]",3,Subtraction,with the win streak that they have chuck 's team was able to get into the playoffs . they reached the semi-finals where they played against the black team . if they finished the game with number0 points and won it by number1 points,what is the black team 's final score ?
for the championship game they faced the powerful red team . wanting redemption chuck and his teammates did their best and gave everything that they 've got . in the end they won the game with the final score of number0 if the red team scored number1 points how large was the difference of their scores ?,95 76,- number0 number1,19.0,"[4, 39, 40, 41, 46, 47, 48, 53, 54, 55]",3,Subtraction,for the championship game they faced the powerful red team . wanting redemption chuck and his teammates did their best and gave everything that they 've got . in the end they won the game with the final score of number0 if the red team scored number1 points,how large was the difference of their scores ?
simon mark kevin and carl love collecting stamps . they meet up every month to compare and share their collections with each other . during the previous month kevin was able to collect number0 stamps while simon was only able to collect number1 how many more stamps does kevin have more than simon ?,45 27,- number0 number1,18.0,"[32, 33, 34, 1, 2, 6, 8, 41, 42, 43, 12, 50, 51, 52, 21]",3,Subtraction,simon mark kevin and carl love collecting stamps . they meet up every month to compare and share their collections with each other . during the previous month kevin was able to collect number0 stamps while simon was only able to collect number1 how,many more stamps does kevin have more than simon ?
carl on the other hand was able to collect number0 stamps which are number1 more than what mark was able to collect . how many stamps was mark able to collect ?,74 36,- number0 number1,38.0,"[1, 5, 8, 9, 10, 12, 13, 14, 28, 29, 30]",3,Subtraction,carl on the other hand was able to collect number0 stamps which are number1 more than what mark was able to collect .,how many stamps was mark able to collect ?
if carl has a total of number0 stamps and kevin has number1 how many more stamps does carl have more than kevin ?,89 57,- number0 number1,32.0,"[5, 6, 7, 10, 11, 12, 13, 14, 18, 19, 20, 21]",3,Subtraction,if carl has a total of number0 stamps and kevin has number1,how many more stamps does carl have more than kevin ?
the following month the number0 friends met again to share their collections . carl having the most number of stamps among all of them decided to give away some of his collections . if he has number1 stamps during that month and he gave away number2 how many stamps were left with him ?,4 96 48,- number1 number2,48.0,"[2, 35, 3, 4, 5, 36, 37, 6, 44, 45, 46, 14, 50, 51, 52]",3,Subtraction,the following month the number0 friends met again to share their collections . carl having the most number of stamps among all of them decided to give away some of his collections . if he has number1 stamps during that month and he gave away number2,how many stamps were left with him ?
before his friends gave him more stamps simon initially had number0 stamps . if he now has number1 stamps how many stamps did he receive from his friends ?,34 61,- number1 number0,27.0,"[3, 5, 7, 9, 10, 11, 16, 17, 18, 25, 26, 27]",3,Subtraction,before his friends gave him more stamps simon initially had number0 stamps . if he now has number1 stamps,how many stamps did he receive from his friends ?
rob is very fond of tall structures . he likes collecting pictures and comparing them . number0 of his favorite buildings are chicago 's sears tower and dubai 's burj khalifa . if burj khalifa stands at number1 meters high and sears stands at number2 meters high how much higher is burj khalifa than sears ?,2 830 527,- number1 number2,303.0,"[36, 37, 38, 43, 44, 45, 16, 17, 52, 53, 54]",3,Subtraction,rob is very fond of tall structures . he likes collecting pictures and comparing them . number0 of his favorite buildings are chicago 's sears tower and dubai 's burj khalifa . if burj khalifa stands at number1 meters high and sears stands at number2 meters high,how much higher is burj khalifa than sears ?
rob also compared the empire state building and the petronas towers . what is the height difference between the number0 if the empire state building is number1 m tall and the petronas towers is number2 m tall ?,2 443 452,- number2 number1,9.0,"[33, 34, 35, 36, 18, 19, 20, 25, 26, 27]",3,Subtraction,rob also compared the empire state building and the petronas towers .,what is the height difference between the number0 if the empire state building is number1 m tall and the petronas towers is number2 m tall ?
rob also matched the london eye which stands at number0 ft and las vegas ' high roller standing at number1 ft. being the tallest ferris wheel in the world how much taller is high roller than the london eye ?,443 550,- number1 number0,107.0,"[36, 37, 38, 8, 9, 10, 18, 19, 20]",3,Subtraction,rob also matched the london eye which stands at number0 ft and las vegas ' high roller standing at number1 ft. being the tallest ferris wheel in the world,how much taller is high roller than the london eye ?
lastly rob compared canada 's cn tower and seattle 's space needle . how tall is the space needle if the cn tower stands at number0 m high and it is taller than the space needle by number1 m ?,553 369,- number0 number1,184.0,"[36, 37, 38, 14, 24, 25, 26]",3,Subtraction,lastly rob compared canada 's cn tower and seattle 's space needle .,how tall is the space needle if the cn tower stands at number0 m high and it is taller than the space needle by number1 m ?
mike and his brother joe found a map leading to a buried treasure in an unknown island so they decided to go on a treasure hunt . after decoding the clues on the map they found out that they need to go to the island of mysteries . to get there they could either take a plane for $ number0 or a boat for $ number1 . how much money can they save if they took a boat to the island ?,600.00 254.00,- number0 number1,346.0,"[64, 65, 78, 79, 80, 58, 59, 60]",3,Subtraction,mike and his brother joe found a map leading to a buried treasure in an unknown island so they decided to go on a treasure hunt . after decoding the clues on the map they found out that they need to go to the island of mysteries . to get there they could either take a plane for $ number0 or a boat for $ number1 .,how much money can they save if they took a boat to the island ?
when they arrived at the island 's starting point they looked at the clues and found out that the number of steps they need to take to get to the next clue is the difference between number0 and number1 how many steps do they have to take to get to the next clue ?,537 369,- number0 number1,168.0,"[35, 36, 37, 38, 39, 50, 51, 52]",3,Subtraction,when they arrived at the island 's starting point they looked at the clues and found out that the number of steps they need to take to get to the next clue is the difference between number0 and number1 how,many steps do they have to take to get to the next clue ?
the map led them through the forest and into a cave . to open the cave doors they need to put weights on the switch . if the switch already has number0 lbs . of weights and the total needed is number1 lbs . how much more weight to they need to add ?,234 712,- number1 number0,478.0,"[32, 4, 40, 41, 42, 50, 51, 52, 30, 31]",3,Subtraction,the map led them through the forest and into a cave . to open the cave doors they need to put weights on the switch . if the switch already has number0 lbs . of weights and the total needed is number1 lbs .,how much more weight to they need to add ?
if the cave is number0 feet deep and they are already at number1 feet how much farther until they reach the end of the cave ?,974 588,- number0 number1,386.0,"[3, 4, 5, 11, 12, 13, 22, 23, 24]",3,Subtraction,if the cave is number0 feet deep and they are already at number1 feet,how much farther until they reach the end of the cave ?
at the end of the cave they found a golden chest . if the chest contains number0 diamonds and number1 rubies how many more diamonds are there than rubies ?,421 377,- number0 number1,44.0,"[3, 10, 11, 14, 15, 16, 17, 18, 19, 20, 26, 27, 28]",3,Subtraction,at the end of the cave they found a golden chest . if the chest contains number0 diamonds and number1 rubies,how many more diamonds are there than rubies ?
the path opened to a beautiful garden enclosed by a wall . the exit door will open when the number of white flowers is the same as the number of red flowers . if there are number0 white flowers and number1 red flowers how many more red flowers are needed ?,555 347,- number0 number1,208.0,"[2, 35, 36, 37, 38, 39, 40, 41, 42, 9, 4, 8, 11, 12, 13, 47, 18, 48, 49]",3,Subtraction,the path opened to a beautiful garden enclosed by a wall . the exit door will open when the number of white flowers is the same as the number of red flowers . if there are number0 white flowers and number1 red flowers,how many more red flowers are needed ?
the exit door leads to a river number0 inches across if the bridge he needs to cross is only number1 inches how much longer does he need to build if he wants to cross the river using the bridge ?,487 295,- number0 number1,192.0,"[36, 37, 6, 7, 8, 38, 18, 19, 20]",3,Subtraction,the exit door leads to a river number0 inches across if the bridge he needs to cross is only number1 inches,how much longer does he need to build if he wants to cross the river using the bridge ?
across the river he fell into a hole . to get out he needs to fill it with number0 gallons of water . if the hole initially has number1 gallons how much water does he need to fill it ?,823 676,- number0 number1,147.0,"[4, 36, 37, 38, 17, 18, 19, 27, 28, 29]",3,Subtraction,across the river he fell into a hole . to get out he needs to fill it with number0 gallons of water . if the hole initially has number1 gallons,how much water does he need to fill it ?
at the edge of the forest an anthill is blocking the way out . in order to pass through he needs to help the ants gather food . if the ants need number0 grains of food and they already have number1 how many more grains are needed to be gathered ?,911 762,- number0 number1,149.0,"[32, 33, 39, 40, 41, 47, 48, 49, 31]",3,Subtraction,at the edge of the forest an anthill is blocking the way out . in order to pass through he needs to help the ants gather food . if the ants need number0 grains of food and they already have number1,how many more grains are needed to be gathered ?
charlie an aspiring inventor is planning to make some wings to fulfill his dream to fly around the world . he started by collecting feathers . he needs number0 feathers and he already has number1 how many more feathers does he need to collect ?,900 387,- number0 number1,513.0,"[33, 34, 35, 3, 1, 2, 8, 41, 42, 43, 27, 28, 29]",3,Subtraction,charlie an aspiring inventor is planning to make some wings to fulfill his dream to fly around the world . he started by collecting feathers . he needs number0 feathers and he already has number1 how,many more feathers does he need to collect ?
next on his checklist are wax glues to stick the feathers together . if the feathers require number0 g of wax and right now he just needs number1 g how many grams of wax glue does he already have ?,469 257,- number0 number1,212.0,"[3, 36, 37, 38, 13, 16, 17, 18, 26, 27, 28]",3,Subtraction,next on his checklist are wax glues to stick the feathers together . if the feathers require number0 g of wax and right now he just needs number1 g,how many grams of wax glue does he already have ?
the wings now need to be heated . if the oven is at number0 degrees and the required temperature is number1 degrees how many more degrees does the oven temperature need to increase ?,150 546,- number1 number0,396.0,"[32, 12, 13, 14, 15, 16, 19, 20, 21, 22, 30, 31]",3,Subtraction,the wings now need to be heated . if the oven is at number0 degrees and the required temperature is number1 degrees,how many more degrees does the oven temperature need to increase ?
while heating the wings charlie decided to make metal supports for the wings . if he needs number0 lbs of metal and he has number1 lbs in storage how much additional metal does he need to buy ?,635 276,- number0 number1,359.0,"[2, 34, 35, 36, 9, 16, 17, 18, 23, 24, 25]",3,Subtraction,while heating the wings charlie decided to make metal supports for the wings . if he needs number0 lbs of metal and he has number1 lbs in storage,how much additional metal does he need to buy ?
finally he wanted to add color to the wings so he decided to paint it like a rainbow . if he wanted to use number0 liters of paint and he still have number1 liters left from his last project how much more paint does he need to buy ?,333 157,- number0 number1,176.0,"[32, 33, 4, 12, 45, 46, 47, 23, 24, 25, 31]",3,Subtraction,finally he wanted to add color to the wings so he decided to paint it like a rainbow . if he wanted to use number0 liters of paint and he still have number1 liters left from his last project,how much more paint does he need to buy ?
willie the town baker wanted to make the biggest cake their town has ever seen . first he prepared the flour . he is planning to use number0 lbs . of flour . if he has number1 lbs . of flour stored in his bakery how much more flour does he need to buy ?,501 294,- number0 number1,207.0,"[2, 35, 36, 37, 4, 51, 52, 53, 26, 27, 28]",3,Subtraction,willie the town baker wanted to make the biggest cake their town has ever seen . first he prepared the flour . he is planning to use number0 lbs . of flour . if he has number1 lbs . of flour stored in his bakery,how much more flour does he need to buy ?
next on his shopping list are the eggs . if he needs number0 eggs for his cake and his friend andrew gave him number1 how many more eggs should he buy ?,222 155,- number0 number1,67.0,"[2, 11, 12, 13, 16, 17, 21, 22, 23, 24, 28, 29, 30]",3,Subtraction,next on his shopping list are the eggs . if he needs number0 eggs for his cake and his friend andrew gave him number1,how many more eggs should he buy ?
to make sure that the cake is sweet he needs number0 lbs . of sugar . if he has number1 lbs . of sugar stored in his house how much additional sugar will he need ?,450 287,- number0 number1,163.0,"[32, 33, 2, 34, 9, 10, 11, 18, 19, 20]",3,Subtraction,to make sure that the cake is sweet he needs number0 lbs . of sugar . if he has number1 lbs . of sugar stored in his house,how much additional sugar will he need ?
since the townspeople requested that he makes a chocolate cake he will need number0 lbs . of cocoa powder . if the mayor already gave him number1 lbs . how much cocoa powder does he still need ?,306 259,- number0 number1,47.0,"[34, 35, 4, 36, 12, 13, 14, 25, 26, 27]",3,Subtraction,since the townspeople requested that he makes a chocolate cake he will need number0 lbs . of cocoa powder . if the mayor already gave him number1 lbs .,how much cocoa powder does he still need ?
for the frosting and final touches willie will need to have number0 lbs . of whipped cream . if he got number1 lbs . of cream from his farm how much more cream is needed to be bought ?,300 149,- number0 number1,151.0,"[2, 35, 36, 37, 10, 11, 12, 20, 21, 22]",3,Subtraction,for the frosting and final touches willie will need to have number0 lbs . of whipped cream . if he got number1 lbs . of cream from his farm,how much more cream is needed to be bought ?
there 's only a week left before christmas . john went out to buy gifts for his family . having $ number0 for his budget he went to a sports store and bought his brother a new pair of shoes for $ number1 . how much money does he have left ?,999.00 165.00,- number0 number1,834.0,"[0, 41, 42, 48, 49, 50, 20, 21, 22]",3,Subtraction,there 's only a week left before christmas . john went out to buy gifts for his family . having $ number0 for his budget he went to a sports store and bought his brother a new pair of shoes for $ number1 .,how much money does he have left ?
after buying a dress he went to a gardening store and bought his mom some ornamental plants . if the plants originally cost $ number0 and he was able to get a $ number1 discount how much did he actually spend on buying the plants ?,467.00 399.00,- number0 number1,68.0,"[32, 33, 34, 4, 42, 43, 44, 23, 24, 25]",3,Subtraction,after buying a dress he went to a gardening store and bought his mom some ornamental plants . if the plants originally cost $ number0 and he was able to get a $ number1 discount,how much did he actually spend on buying the plants ?
lastly he went to a music store and bought a new set of speakers for his dad 's entertainment system . if the initial price of the speakers is $ number0 he got it for $ number1 how much money was he able to save from having a discount ?,475.00 199.00,- number0 number1,276.0,"[35, 36, 37, 46, 47, 48, 29, 30, 31]",3,Subtraction,lastly he went to a music store and bought a new set of speakers for his dad 's entertainment system . if the initial price of the speakers is $ number0 he got it for $ number1,how much money was he able to save from having a discount ?
if he spent a total of $ number0 and all the gifts cost a total of $ number1 how much money did he spend on giftwrapping and other expenses ?,700.00 561.00,- number0 number1,139.0,"[6, 7, 8, 16, 17, 18, 26, 27, 28]",3,Subtraction,if he spent a total of $ number0 and all the gifts cost a total of $ number1,how much money did he spend on giftwrapping and other expenses ?
janine owns a catering service company . she was hired to cater for the mayor 's number0 birthday . for the appetizers she needs to make number1 mini meat pies . she divided her crew into number2 teams . if the first team made number3 and the second made number4 how many pies should the third team make ?,50 750 3 235 275,- number1 + number3 number4,240.0,"[35, 36, 37, 43, 44, 45, 12, 48, 49, 50, 18, 55, 56, 25, 26, 27, 29, 57]",3,Subtraction,janine owns a catering service company . she was hired to cater for the mayor 's number0 birthday . for the appetizers she needs to make number1 mini meat pies . she divided her crew into number2 teams . if the first team made number3 and the second made number4,how many pies should the third team make ?
next food item she has to prepare is soup . she needs number0 cups of mushroom soup . if the first team made number1 cups and the third team made number2 cups how any cups should the second team prepare in order to meet the required amount of soup ?,280 90 70,- number0 + number1 number2,120.0,"[1, 4, 11, 12, 13, 46, 47, 48, 21, 22, 23, 24, 29, 30, 31]",3,Subtraction,next food item she has to prepare is soup . she needs number0 cups of mushroom soup . if the first team made number1 cups and the third team made number2 cups,how any cups should the second team prepare in order to meet the required amount of soup ?
for the second main course they were asked to make number0 pieces of fish fillets . if the first team made number1 pieces and the second team made number2 pieces how many pieces should the third team make ?,500 189 131,- number0 + number1 number2,180.0,"[35, 4, 36, 37, 9, 10, 11, 15, 20, 21, 22, 27, 28, 29]",3,Subtraction,for the second main course they were asked to make number0 pieces of fish fillets . if the first team made number1 pieces and the second team made number2 pieces,how many pieces should the third team make ?
they served a total of number0 adults and number1 children if number2 of all the people they served are male how many are female ?,179 141 156,- + number0 number1 number2,164.0,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 21, 22, 23]",3,Subtraction,they served a total of number0 adults and number1 children if number2 of all the people they served are male,how many are female ?
alvin is trying to build a small house in the forest so that he has a place to stay whenever he goes hunting . he started by gathering some wood . according to his blueprint he will need number0 pieces of wood . if his friend gave him number1 pieces and his brother gave him number2 pieces how many more wood does he need to gather ?,376 123 136,- - number0 number1 number2,117.0,"[64, 65, 3, 37, 38, 39, 6, 10, 47, 48, 49, 54, 55, 56, 63]",3,TVQ-Change,alvin is trying to build a small house in the forest so that he has a place to stay whenever he goes hunting . he started by gathering some wood . according to his blueprint he will need number0 pieces of wood . if his friend gave him number1 pieces and his brother gave him number2 pieces,how many more wood does he need to gather ?
he also needed some nails . if he already has number0 nails with him and he found another number1 in his toolshed how many more nails does he need to buy if he needs a total of number2 nails ?,247 144 500,- number2 + number0 number1,109.0,"[2, 3, 36, 37, 38, 9, 10, 11, 17, 18, 19, 24]",3,Subtraction,he also needed some nails . if he already has number0 nails with him and he found another number1 in his toolshed,how many more nails does he need to buy if he needs a total of number2 nails ?
to add support on the house 's connections he decided to tie the wood joints with rope . he needs number0 feet of rope . if he has number1 feet of rope with him and at the moment he only needed number2 feet how many feet of rope did his friends give to him ?,185 46 57,- number0 + number2 number1,82.0,"[1, 2, 40, 41, 42, 15, 19, 20, 21, 51, 52, 53, 26, 27, 28, 29]",3,Subtraction,to add support on the house 's connections he decided to tie the wood joints with rope . he needs number0 feet of rope . if he has number1 feet of rope with him and at the moment he only needed number2 feet,how many feet of rope did his friends give to him ?
he wanted to make sure that he is protected from the cold evenings in the forest so he decided to build a fireplace made of cement . if he bought number0 lbs of cement and his son brought another number1 lbs how much cement did he have originally if he now has number2 lbs ?,215 137 450,- number2 + number0 number1,98.0,"[2, 38, 39, 40, 10, 51, 52, 53, 24, 29, 30, 31]",3,Subtraction,he wanted to make sure that he is protected from the cold evenings in the forest so he decided to build a fireplace made of cement . if he bought number0 lbs of cement and his son brought another number1 lbs,how much cement did he have originally if he now has number2 lbs ?
after the cleaning the rivers they went on to tidy up the farmlands . if lizzie 's group covered number0 square feet of land and the other group covered number1 how many more square feet of land remains to be cleaned if there is total of number2 square feet of land ?,250 265 900,- number2 + number0 number1,385.0,"[4, 45, 46, 47, 48, 17, 18, 19, 20, 21, 49, 23, 50, 28, 29, 30]",3,Subtraction,after the cleaning the rivers they went on to tidy up the farmlands . if lizzie 's group covered number0 square feet of land and the other group covered number1,how many more square feet of land remains to be cleaned if there is total of number2 square feet of land ?
the number0 groups will also collect garbage from all the number1 houses in the city . if lizzie 's group covered number2 houses while the other group covered number3 how many more houses remain ?,2 453 238 190,- number1 + number2 number3,25.0,"[0, 1, 2, 32, 4, 5, 33, 9, 10, 11, 14, 15, 17, 20, 21, 22, 27, 28, 29, 31]",3,Subtraction,the number0 groups will also collect garbage from all the number1 houses in the city . if lizzie 's group covered number2 houses while the other group covered number3,how many more houses remain ?
finally they had to roam around number0 factories to make sure they are throwing their wastes properly . if their group went to number1 factories and the second went to number2 how many factories remain unchecked ?,169 69 52,- number0 + number1 number2,48.0,"[33, 34, 35, 4, 5, 6, 7, 14, 16, 22, 23, 24, 29, 30, 31]",3,Subtraction,finally they had to roam around number0 factories to make sure they are throwing their wastes properly . if their group went to number1 factories and the second went to number2,how many factories remain unchecked ?
kevin and his family just moved to a new neighborhood so they are holding a party to be able to meet their new neighbors . for the party they prepared a few snacks for everyone . if his sister prepared number0 mini cupcakes and his mother prepared number1 how many did his grandmother prepare if they have a total of number2 cupcakes ?,25 30 100,- number2 + number0 number1,45.0,"[3, 39, 40, 41, 42, 46, 47, 48, 59, 60, 61]",3,Subtraction,kevin and his family just moved to a new neighborhood so they are holding a party to be able to meet their new neighbors . for the party they prepared a few snacks for everyone . if his sister prepared number0 mini cupcakes and his mother prepared number1,how many did his grandmother prepare if they have a total of number2 cupcakes ?
they also prepared some chips . if he prepared number0 grams of chips and his father prepared number1 grams how much chips should his brother prepare if they are to have number2 grams of chips ?,350 268 800,- number2 + number0 number1,182.0,"[32, 33, 2, 34, 8, 9, 10, 16, 17, 18, 24, 30, 31]",3,Subtraction,they also prepared some chips . if he prepared number0 grams of chips and his father prepared number1 grams,how much chips should his brother prepare if they are to have number2 grams of chips ?
after the party kevin estimated that the total money they spent on food drinks and utensils sums up to $ number0 . if they spent $ number1 on food and $ number2 on utensils and other stuff how much did they spend on drinks ?,560.00 268.00 118.00,- number0 + number1 number2,174.0,"[32, 2, 41, 42, 43, 19, 20, 25, 26, 27, 30, 31]",3,Subtraction,after the party kevin estimated that the total money they spent on food drinks and utensils sums up to $ number0 . if they spent $ number1 on food and $ number2 on utensils and other stuff,how much did they spend on drinks ?
andrew is having his friends over for game night . so he decided to prepare the snacks and the games . he started by making mini sandwiches . if he has number0 friends coming over and he made number1 sandwiches for each one of them how many sandwiches did he make in total ?,4 3,* number0 number1,12.0,"[32, 2, 3, 37, 38, 39, 41, 9, 18, 50, 51, 52, 22, 30, 31]",3,Multiplication,andrew is having his friends over for game night . so he decided to prepare the snacks and the games . he started by making mini sandwiches . if he has number0 friends coming over and he made number1 sandwiches for each one of them,how many sandwiches did he make in total ?
he also made some juice from fresh oranges . if he used number0 oranges per glass of juice and he made number1 glasses of juice how many oranges did he use ?,2 6,* number0 number1,12.0,"[2, 6, 11, 12, 13, 14, 17, 20, 21, 22, 28, 29, 30]",3,Multiplication,he also made some juice from fresh oranges . if he used number0 oranges per glass of juice and he made number1 glasses of juice,how many oranges did he use ?
lastly andrew tried to compute his expenses for the game night . if he spent $ number0 for each game they played and they played a total of number1 games how much money did he spend that night ?,9.00 5,* number0 number1,45.0,"[2, 35, 36, 37, 15, 16, 17, 18, 27, 28, 29]",3,Multiplication,lastly andrew tried to compute his expenses for the game night . if he spent $ number0 for each game they played and they played a total of number1 games,how much money did he spend that night ?
her mom also baked some cookies . if she baked number0 pans of cookies and there are number1 cookies per pan how many cookies did her mom bake for her birthday ?,5 8,* number0 number1,40.0,"[2, 3, 9, 10, 11, 15, 16, 17, 18, 19, 20, 28, 29, 30]",3,Multiplication,her mom also baked some cookies . if she baked number0 pans of cookies and there are number1 cookies per pan,how many cookies did her mom bake for her birthday ?
they planned to serve some cold drinks as well . if they plan to make number0 pitchers of drinks and each pitcher can fill number1 glasses how many glasses of drinks are they planning to prepare in total ?,9 6,* number0 number1,54.0,"[35, 4, 36, 37, 13, 14, 15, 16, 17, 20, 23, 24, 25]",3,Multiplication,they planned to serve some cold drinks as well . if they plan to make number0 pitchers of drinks and each pitcher can fill number1 glasses,how many glasses of drinks are they planning to prepare in total ?
they decided to hold the party in their backyard . if they have number0 sets of tables and each set has number1 chairs how many chairs do they have for the guests ?,8 7,* number0 number1,56.0,"[2, 10, 12, 13, 14, 18, 20, 21, 22, 29, 30, 31]",3,Multiplication,they decided to hold the party in their backyard . if they have number0 sets of tables and each set has number1 chairs,how many chairs do they have for the guests ?
at the end of the party mona gave away some souvenirs to her number0 closest friends . if each of them received number1 souvenir items how many souvenirs did mona give away ?,6 2,* number0 number1,12.0,"[4, 12, 13, 14, 15, 18, 21, 22, 23, 24, 29, 30, 31]",3,Multiplication,at the end of the party mona gave away some souvenirs to her number0 closest friends . if each of them received number1 souvenir items,how many souvenirs did mona give away ?
john is building a tree house to serve as his hideout whenever he wanted to spend some time alone with himself . the first thing he did is to gather some materials . for the pillars he needs number0 sets of wood with different lengths . if the first set of wood is number1 feet long and the second set is number2 times longer than the first set how long is the second set of wood ?,2 4 5,* number1 number2,20.0,"[37, 38, 39, 73, 74, 75, 15, 52, 53, 54, 60, 61, 62]",3,Multiplication,john is building a tree house to serve as his hideout whenever he wanted to spend some time alone with himself . the first thing he did is to gather some materials . for the pillars he needs number0 sets of wood with different lengths . if the first set of wood is number1 feet long and the second set is number2 times longer than the first set,how long is the second set of wood ?
another material that he needs is rope . if he already has number0 feet of rope and he needs additional ropes having number1 times the length of what he already have how long should be the additional rope ?,6 5,* number0 number1,30.0,"[3, 35, 36, 37, 11, 12, 13, 21, 22, 23]",3,Multiplication,another material that he needs is rope . if he already has number0 feet of rope and he needs additional ropes having number1 times the length of what he already have,how long should be the additional rope ?
for the walls of the house he would use number0 large planks of wood . if each plank of wood needs number1 pieces of nails to be secured how many nails does john need for the house wall ?,9 8,* number0 number1,72.0,"[35, 36, 5, 37, 8, 9, 10, 11, 16, 20, 21, 22]",3,Multiplication,for the walls of the house he would use number0 large planks of wood . if each plank of wood needs number1 pieces of nails to be secured,how many nails does john need for the house wall ?
