Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
next food item she has to prepare is soup . she needs number0 cups of mushroom soup . if the first team made number1 cups and the third team made number2 cups how any cups should the second team prepare in order to meet the required amount of soup ?,280 90 70,- number0 + number1 number2,120.0,"[1, 4, 11, 12, 13, 46, 47, 48, 21, 22, 23, 24, 29, 30, 31]",3,Subtraction,next food item she has to prepare is soup . she needs number0 cups of mushroom soup . if the first team made number1 cups and the third team made number2 cups,how any cups should the second team prepare in order to meet the required amount of soup ?
for the second main course they were asked to make number0 pieces of fish fillets . if the first team made number1 pieces and the second team made number2 pieces how many pieces should the third team make ?,500 189 131,- number0 + number1 number2,180.0,"[35, 4, 36, 37, 9, 10, 11, 15, 20, 21, 22, 27, 28, 29]",3,Subtraction,for the second main course they were asked to make number0 pieces of fish fillets . if the first team made number1 pieces and the second team made number2 pieces,how many pieces should the third team make ?
they served a total of number0 adults and number1 children if number2 of all the people they served are male how many are female ?,179 141 156,- + number0 number1 number2,164.0,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 21, 22, 23]",3,Subtraction,they served a total of number0 adults and number1 children if number2 of all the people they served are male,how many are female ?
alvin is trying to build a small house in the forest so that he has a place to stay whenever he goes hunting . he started by gathering some wood . according to his blueprint he will need number0 pieces of wood . if his friend gave him number1 pieces and his brother gave him number2 pieces how many more wood does he need to gather ?,376 123 136,- - number0 number1 number2,117.0,"[64, 65, 3, 37, 38, 39, 6, 10, 47, 48, 49, 54, 55, 56, 63]",3,TVQ-Change,alvin is trying to build a small house in the forest so that he has a place to stay whenever he goes hunting . he started by gathering some wood . according to his blueprint he will need number0 pieces of wood . if his friend gave him number1 pieces and his brother gave him number2 pieces,how many more wood does he need to gather ?
he also needed some nails . if he already has number0 nails with him and he found another number1 in his toolshed how many more nails does he need to buy if he needs a total of number2 nails ?,247 144 500,- number2 + number0 number1,109.0,"[2, 3, 36, 37, 38, 9, 10, 11, 17, 18, 19, 24]",3,Subtraction,he also needed some nails . if he already has number0 nails with him and he found another number1 in his toolshed,how many more nails does he need to buy if he needs a total of number2 nails ?
to add support on the house 's connections he decided to tie the wood joints with rope . he needs number0 feet of rope . if he has number1 feet of rope with him and at the moment he only needed number2 feet how many feet of rope did his friends give to him ?,185 46 57,- number0 + number2 number1,82.0,"[1, 2, 40, 41, 42, 15, 19, 20, 21, 51, 52, 53, 26, 27, 28, 29]",3,Subtraction,to add support on the house 's connections he decided to tie the wood joints with rope . he needs number0 feet of rope . if he has number1 feet of rope with him and at the moment he only needed number2 feet,how many feet of rope did his friends give to him ?
he wanted to make sure that he is protected from the cold evenings in the forest so he decided to build a fireplace made of cement . if he bought number0 lbs of cement and his son brought another number1 lbs how much cement did he have originally if he now has number2 lbs ?,215 137 450,- number2 + number0 number1,98.0,"[2, 38, 39, 40, 10, 51, 52, 53, 24, 29, 30, 31]",3,Subtraction,he wanted to make sure that he is protected from the cold evenings in the forest so he decided to build a fireplace made of cement . if he bought number0 lbs of cement and his son brought another number1 lbs,how much cement did he have originally if he now has number2 lbs ?
for finishing touches he needed number0 gallons of paint . if he bought number1 gallons to add to his existing number2 gallons of paint how much more paint will he need ?,70 23 36,- - number0 number1 number2,11.0,"[2, 4, 5, 6, 9, 12, 13, 14, 19, 20, 21, 28, 29, 30]",3,TVQ-Change,for finishing touches he needed number0 gallons of paint . if he bought number1 gallons to add to his existing number2 gallons of paint,how much more paint will he need ?
after the cleaning the rivers they went on to tidy up the farmlands . if lizzie 's group covered number0 square feet of land and the other group covered number1 how many more square feet of land remains to be cleaned if there is total of number2 square feet of land ?,250 265 900,- number2 + number0 number1,385.0,"[4, 45, 46, 47, 48, 17, 18, 19, 20, 21, 49, 23, 50, 28, 29, 30]",3,Subtraction,after the cleaning the rivers they went on to tidy up the farmlands . if lizzie 's group covered number0 square feet of land and the other group covered number1,how many more square feet of land remains to be cleaned if there is total of number2 square feet of land ?
the number0 groups will also collect garbage from all the number1 houses in the city . if lizzie 's group covered number2 houses while the other group covered number3 how many more houses remain ?,2 453 238 190,- number1 + number2 number3,25.0,"[0, 1, 2, 32, 4, 5, 33, 9, 10, 11, 14, 15, 17, 20, 21, 22, 27, 28, 29, 31]",3,Subtraction,the number0 groups will also collect garbage from all the number1 houses in the city . if lizzie 's group covered number2 houses while the other group covered number3,how many more houses remain ?
finally they had to roam around number0 factories to make sure they are throwing their wastes properly . if their group went to number1 factories and the second went to number2 how many factories remain unchecked ?,169 69 52,- number0 + number1 number2,48.0,"[33, 34, 35, 4, 5, 6, 7, 14, 16, 22, 23, 24, 29, 30, 31]",3,Subtraction,finally they had to roam around number0 factories to make sure they are throwing their wastes properly . if their group went to number1 factories and the second went to number2,how many factories remain unchecked ?
kevin and his family just moved to a new neighborhood so they are holding a party to be able to meet their new neighbors . for the party they prepared a few snacks for everyone . if his sister prepared number0 mini cupcakes and his mother prepared number1 how many did his grandmother prepare if they have a total of number2 cupcakes ?,25 30 100,- number2 + number0 number1,45.0,"[3, 39, 40, 41, 42, 46, 47, 48, 59, 60, 61]",3,Subtraction,kevin and his family just moved to a new neighborhood so they are holding a party to be able to meet their new neighbors . for the party they prepared a few snacks for everyone . if his sister prepared number0 mini cupcakes and his mother prepared number1,how many did his grandmother prepare if they have a total of number2 cupcakes ?
they also prepared some chips . if he prepared number0 grams of chips and his father prepared number1 grams how much chips should his brother prepare if they are to have number2 grams of chips ?,350 268 800,- number2 + number0 number1,182.0,"[32, 33, 2, 34, 8, 9, 10, 16, 17, 18, 24, 30, 31]",3,Subtraction,they also prepared some chips . if he prepared number0 grams of chips and his father prepared number1 grams,how much chips should his brother prepare if they are to have number2 grams of chips ?
after the party kevin estimated that the total money they spent on food drinks and utensils sums up to $ number0 . if they spent $ number1 on food and $ number2 on utensils and other stuff how much did they spend on drinks ?,560.00 268.00 118.00,- number0 + number1 number2,174.0,"[32, 2, 41, 42, 43, 19, 20, 25, 26, 27, 30, 31]",3,Subtraction,after the party kevin estimated that the total money they spent on food drinks and utensils sums up to $ number0 . if they spent $ number1 on food and $ number2 on utensils and other stuff,how much did they spend on drinks ?
katie loves to travel . on her birthday she decided to go on a trip on a mysterious continent . her first destination was in an island of statues which is number0 miles from her place . she took a plane that made number1 stopovers the number2 stopover after covering number3 miles and the number4 stopover after another number5 miles . how much farther is the island from the number6 stopover ?,436 2 1 132 2 236 2,- number0 + number3 number5,68.0,"[32, 68, 5, 69, 70, 42, 43, 44, 12, 49, 50, 51, 57, 58, 59, 30, 31]",3,Subtraction,katie loves to travel . on her birthday she decided to go on a trip on a mysterious continent . her first destination was in an island of statues which is number0 miles from her place . she took a plane that made number1 stopovers the number2 stopover after covering number3 miles and the number4 stopover after another number5 miles .,how much farther is the island from the number6 stopover ?
katie spent a total $ number0 on her whole stay in the island . if she spent $ number1 on food and $ number2 on hotel rooms how much did she spend on buying other stuff ?,350.00 125.00 135.00,- number0 + number1 number2,90.0,"[1, 2, 3, 4, 5, 6, 33, 34, 35, 17, 18, 19, 22, 23, 24]",3,Subtraction,katie spent a total $ number0 on her whole stay in the island . if she spent $ number1 on food and $ number2 on hotel rooms,how much did she spend on buying other stuff ?
next she went to a country full of mountains . there she saw number0 species of insects reptiles and birds . if she saw number1 insect species and number2 bird species how many reptile species did she see ?,532 253 143,- number0 + number1 number2,136.0,"[2, 35, 36, 37, 11, 12, 13, 14, 16, 23, 24, 25, 26, 27, 28, 29, 30]",3,Subtraction,next she went to a country full of mountains . there she saw number0 species of insects reptiles and birds . if she saw number1 insect species and number2 bird species,how many reptile species did she see ?
after the mountain country she went to the famous beach on the continent . there she collected number0 seashells of different colors . if she has number1 red shells and number2 green shells how many shells are not red or green ?,291 76 49,- number0 + number1 number2,166.0,"[32, 2, 4, 38, 39, 8, 40, 11, 15, 16, 17, 18, 25, 26, 27, 28, 29, 30, 31]",3,Subtraction,after the mountain country she went to the famous beach on the continent . there she collected number0 seashells of different colors . if she has number1 red shells and number2 green shells,how many shells are not red or green ?
thanksgiving is coming and dr. mary wants to celebrate it by sharing her blessing to different charities . she first went to oldtown where she donated $ number0 in total to number1 different nursing homes . if she gave $ number2 to the first home and $ number3 to the second how much did she give to the third home ?,700.00 3 245.00 225.00,- number0 + number2 number3,230.0,"[32, 34, 2, 58, 39, 40, 41, 7, 59, 46, 47, 48, 14, 57, 26, 27, 28, 30, 31]",3,Subtraction,thanksgiving is coming and dr. mary wants to celebrate it by sharing her blessing to different charities . she first went to oldtown where she donated $ number0 in total to number1 different nursing homes . if she gave $ number2 to the first home and $ number3 to the second,how much did she give to the third home ?
she then went to number0 orphanages and donated a total of $ number1 . if she gave $ number2 to the first orphanage and $ number3 to the third how much did she donate to the second orphanage ?,3 650.00 175.00 250.00,- number1 + number2 number3,225.0,"[2, 3, 4, 5, 35, 36, 37, 11, 12, 17, 18, 19, 24, 25, 26]",3,Subtraction,she then went to number0 orphanages and donated a total of $ number1 . if she gave $ number2 to the first orphanage and $ number3 to the third,how much did she donate to the second orphanage ?
next on her list are the homeless people where she spent a total of $ number0 . if she gave $ number1 to the first set of homeless families and $ number2 to the second set of families how much did she give to the last set of homeless families ?,900.00 325.00 260.00,- number0 + number1 number2,315.0,"[32, 2, 14, 15, 47, 48, 49, 20, 21, 22, 30, 31]",3,Subtraction,next on her list are the homeless people where she spent a total of $ number0 . if she gave $ number1 to the first set of homeless families and $ number2 to the second set of families,how much did she give to the last set of homeless families ?
lastly she donated $ number0 to number1 different soup kitchens in her town . if she gave $ number2 to the first soup kitchen and $ number3 to the second how much did she donate to the third ?,800.00 3 300.00 238.00,- number0 + number2 number3,262.0,"[2, 3, 4, 5, 6, 7, 35, 9, 36, 37, 17, 18, 19, 25, 26, 27]",3,Subtraction,lastly she donated $ number0 to number1 different soup kitchens in her town . if she gave $ number2 to the first soup kitchen and $ number3 to the second,how much did she donate to the third ?
andrew is having his friends over for game night . so he decided to prepare the snacks and the games . he started by making mini sandwiches . if he has number0 friends coming over and he made number1 sandwiches for each one of them how many sandwiches did he make in total ?,4 3,* number0 number1,12.0,"[32, 2, 3, 37, 38, 39, 41, 9, 18, 50, 51, 52, 22, 30, 31]",3,Multiplication,andrew is having his friends over for game night . so he decided to prepare the snacks and the games . he started by making mini sandwiches . if he has number0 friends coming over and he made number1 sandwiches for each one of them,how many sandwiches did he make in total ?
he also made some juice from fresh oranges . if he used number0 oranges per glass of juice and he made number1 glasses of juice how many oranges did he use ?,2 6,* number0 number1,12.0,"[2, 6, 11, 12, 13, 14, 17, 20, 21, 22, 28, 29, 30]",3,Multiplication,he also made some juice from fresh oranges . if he used number0 oranges per glass of juice and he made number1 glasses of juice,how many oranges did he use ?
lastly andrew tried to compute his expenses for the game night . if he spent $ number0 for each game they played and they played a total of number1 games how much money did he spend that night ?,9.00 5,* number0 number1,45.0,"[2, 35, 36, 37, 15, 16, 17, 18, 27, 28, 29]",3,Multiplication,lastly andrew tried to compute his expenses for the game night . if he spent $ number0 for each game they played and they played a total of number1 games,how much money did he spend that night ?
her mom also baked some cookies . if she baked number0 pans of cookies and there are number1 cookies per pan how many cookies did her mom bake for her birthday ?,5 8,* number0 number1,40.0,"[2, 3, 9, 10, 11, 15, 16, 17, 18, 19, 20, 28, 29, 30]",3,Multiplication,her mom also baked some cookies . if she baked number0 pans of cookies and there are number1 cookies per pan,how many cookies did her mom bake for her birthday ?
they planned to serve some cold drinks as well . if they plan to make number0 pitchers of drinks and each pitcher can fill number1 glasses how many glasses of drinks are they planning to prepare in total ?,9 6,* number0 number1,54.0,"[35, 4, 36, 37, 13, 14, 15, 16, 17, 20, 23, 24, 25]",3,Multiplication,they planned to serve some cold drinks as well . if they plan to make number0 pitchers of drinks and each pitcher can fill number1 glasses,how many glasses of drinks are they planning to prepare in total ?
they decided to hold the party in their backyard . if they have number0 sets of tables and each set has number1 chairs how many chairs do they have for the guests ?,8 7,* number0 number1,56.0,"[2, 10, 12, 13, 14, 18, 20, 21, 22, 29, 30, 31]",3,Multiplication,they decided to hold the party in their backyard . if they have number0 sets of tables and each set has number1 chairs,how many chairs do they have for the guests ?
at the end of the party mona gave away some souvenirs to her number0 closest friends . if each of them received number1 souvenir items how many souvenirs did mona give away ?,6 2,* number0 number1,12.0,"[4, 12, 13, 14, 15, 18, 21, 22, 23, 24, 29, 30, 31]",3,Multiplication,at the end of the party mona gave away some souvenirs to her number0 closest friends . if each of them received number1 souvenir items,how many souvenirs did mona give away ?
john is building a tree house to serve as his hideout whenever he wanted to spend some time alone with himself . the first thing he did is to gather some materials . for the pillars he needs number0 sets of wood with different lengths . if the first set of wood is number1 feet long and the second set is number2 times longer than the first set how long is the second set of wood ?,2 4 5,* number1 number2,20.0,"[37, 38, 39, 73, 74, 75, 15, 52, 53, 54, 60, 61, 62]",3,Multiplication,john is building a tree house to serve as his hideout whenever he wanted to spend some time alone with himself . the first thing he did is to gather some materials . for the pillars he needs number0 sets of wood with different lengths . if the first set of wood is number1 feet long and the second set is number2 times longer than the first set,how long is the second set of wood ?
another material that he needs is rope . if he already has number0 feet of rope and he needs additional ropes having number1 times the length of what he already have how long should be the additional rope ?,6 5,* number0 number1,30.0,"[3, 35, 36, 37, 11, 12, 13, 21, 22, 23]",3,Multiplication,another material that he needs is rope . if he already has number0 feet of rope and he needs additional ropes having number1 times the length of what he already have,how long should be the additional rope ?
for the walls of the house he would use number0 large planks of wood . if each plank of wood needs number1 pieces of nails to be secured how many nails does john need for the house wall ?,9 8,* number0 number1,72.0,"[35, 36, 5, 37, 8, 9, 10, 11, 16, 20, 21, 22]",3,Multiplication,for the walls of the house he would use number0 large planks of wood . if each plank of wood needs number1 pieces of nails to be secured,how many nails does john need for the house wall ?
for the roof john would need number0 sets of metal bars for support . if each set has number1 metal bars how many metal bars are there in all ?,2 7,* number0 number1,14.0,"[3, 5, 6, 7, 8, 12, 15, 17, 18, 19, 20, 26, 27, 28]",3,Multiplication,for the roof john would need number0 sets of metal bars for support . if each set has number1 metal bars,how many metal bars are there in all ?
for the final touches john wanted to paint the house using the number0 primary colors . if he has number1 liters of paint for each color how many liters of paint does he have in all ?,3 5,* number0 number1,15.0,"[33, 2, 34, 35, 10, 11, 12, 13, 14, 17, 18, 19, 20, 24]",3,Multiplication,for the final touches john wanted to paint the house using the number0 primary colors . if he has number1 liters of paint for each color,how many liters of paint does he have in all ?
the kids from oakwood elementary school are visiting a bird zoo for their field trip . to get to the bird zoo from the school the kids have to ride some buses . if there are number0 buses and each bus has number1 adult supervisors to guide the children how many supervisors are there in total ?,7 3,* number0 number1,21.0,"[2, 35, 36, 37, 39, 8, 41, 42, 43, 44, 10, 17, 20, 53, 54, 55, 29]",3,Multiplication,the kids from oakwood elementary school are visiting a bird zoo for their field trip . to get to the bird zoo from the school the kids have to ride some buses . if there are number0 buses and each bus has number1 adult supervisors to guide the children,how many supervisors are there in total ?
if each bus have number0 rows of seats and each row of seats can accommodate number1 children how many children can each bus accommodate ?,9 4,* number0 number1,36.0,"[1, 3, 4, 5, 9, 14, 15, 16, 18, 21, 22, 23]",3,Multiplication,if each bus have number0 rows of seats and each row of seats can accommodate number1 children,how many children can each bus accommodate ?
at the bird zoo the kids were able to visit number0 different bird cages each containing number1 different kinds of birds . how many different kinds of birds did the children see from the bird cages ?,5 8,* number0 number1,40.0,"[1, 2, 33, 34, 35, 9, 10, 11, 13, 14, 15, 16, 17, 18]",3,Multiplication,at the bird zoo the kids were able to visit number0 different bird cages each containing number1 different kinds of birds .,how many different kinds of birds did the children see from the bird cages ?
at the back of the zoo is a mountain where the birds can roam free in a natural habitat . the children saw number0 types of eagles living on each section of the mountain . if the mountain has number1 sections how many types of eagles did the children see in total ?,6 3,* number0 number1,18.0,"[2, 3, 38, 39, 40, 7, 14, 49, 50, 51, 22, 23, 24, 29]",3,Multiplication,at the back of the zoo is a mountain where the birds can roam free in a natural habitat . the children saw number0 types of eagles living on each section of the mountain . if the mountain has number1 sections,how many types of eagles did the children see in total ?
their last stop before leaving the zoo is the bird museum . there they went through number0 bird exhibits spending number1 minutes going around each exhibit . how much time did they spend going through the museum ?,7 9,* number0 number1,63.0,"[34, 35, 36, 7, 15, 16, 17, 18, 19, 20, 21, 24]",3,Multiplication,their last stop before leaving the zoo is the bird museum . there they went through number0 bird exhibits spending number1 minutes going around each exhibit .,how much time did they spend going through the museum ?
annie takes trick or treating seriously . so days before halloween she makes sure that the details of her trick or treating are well planned . first she wanted to find out the number of houses in her village . if the village has number0 houses per block and has a total of number1 blocks how many houses are there in her village ?,5 9,* number0 number1,45.0,"[3, 43, 44, 45, 46, 16, 19, 52, 53, 54, 60, 61, 62]",3,Multiplication,annie takes trick or treating seriously . so days before halloween she makes sure that the details of her trick or treating are well planned . first she wanted to find out the number of houses in her village . if the village has number0 houses per block and has a total of number1 blocks,how many houses are there in her village ?
she also estimated the number of candies that she will receive from each block . if she will receive around number0 pieces of candies from every house and there are number1 houses in a block how many candies will she receive from each block ?,7 5,* number0 number1,35.0,"[3, 41, 42, 43, 12, 14, 19, 20, 21, 25, 29, 30, 31]",3,Multiplication,she also estimated the number of candies that she will receive from each block . if she will receive around number0 pieces of candies from every house and there are number1 houses in a block,how many candies will she receive from each block ?
she wants to know how many children will go trick or treating in their village . if there are number0 children on each of the number1 blocks how many children will go trick or treating in annie 's village ?,6 9,* number0 number1,54.0,"[2, 36, 5, 37, 38, 8, 12, 15, 18, 19, 20, 22, 24, 25, 26]",3,Multiplication,she wants to know how many children will go trick or treating in their village . if there are number0 children on each of the number1 blocks,how many children will go trick or treating in annie 's village ?
annie also planned the time she would spend going around the number0 blocks in her village . if she plans on spending just number1 minutes on each block how much time would it take for her to finish trick or treating ?,9 8,* number0 number1,72.0,"[4, 38, 39, 40, 10, 11, 12, 22, 23, 24, 26]",3,Multiplication,annie also planned the time she would spend going around the number0 blocks in her village . if she plans on spending just number1 minutes on each block,how much time would it take for her to finish trick or treating ?
finally she planned on going to the halloween party in the village club house . she wanted to make sure that she will have the perfect costume so she rented number0 different costumes from the halloween store . if each costume rent costs $ number1 how much did she spend on all the costumes ?,4 2.00,* number0 number1,8.0,"[32, 4, 39, 43, 44, 45, 14, 16, 51, 52, 53, 29, 30, 31]",3,Multiplication,finally she planned on going to the halloween party in the village club house . she wanted to make sure that she will have the perfect costume so she rented number0 different costumes from the halloween store . if each costume rent costs $ number1,how much did she spend on all the costumes ?
being his favorite michael has number0 times more flying robots than tom . if tom has number1 flying robots how many flying robots does michael have ?,4 3,* number0 number1,12.0,"[2, 4, 5, 6, 7, 8, 12, 15, 16, 17, 18, 23, 24, 25]",3,Multiplication,being his favorite michael has number0 times more flying robots than tom . if tom has number1 flying robots,how many flying robots does michael have ?
tom saw that michael has the rare robot that would complete number0 of his robot sets . michael offered to sell it but he said that tom will need to pay number1 times the original price . if the rare robot has an original price of $ number2 how much should tom pay ?,1 3 3.00,* number1 number2,9.0,"[32, 10, 11, 12, 46, 47, 48, 50, 51, 52, 30, 31]",3,Multiplication,tom saw that michael has the rare robot that would complete number0 of his robot sets . michael offered to sell it but he said that tom will need to pay number1 times the original price . if the rare robot has an original price of $ number2,how much should tom pay ?
before they end the meeting tom counted the total number of robots in his collection . he has number0 sets of robots and each set is composed of number1 robots . how many robots does tom have in his collection ?,6 7,* number0 number1,42.0,"[1, 5, 37, 38, 39, 17, 18, 19, 23, 27, 28, 29]",3,Multiplication,before they end the meeting tom counted the total number of robots in his collection . he has number0 sets of robots and each set is composed of number1 robots .,how many robots does tom have in his collection ?
it 's valentine 's day in the city and mayor harvey wants to celebrate by giving the institutions for women some flowers . his first beneficiary was the nursing home for old women . he bought number0 sets of flowers number1 pieces each . how many flowers did he buy for the nursing home ?,3 90,* number0 number1,270.0,"[1, 35, 36, 37, 39, 40, 41, 42, 51, 52, 53]",3,Multiplication,it 's valentine 's day in the city and mayor harvey wants to celebrate by giving the institutions for women some flowers . his first beneficiary was the nursing home for old women . he bought number0 sets of flowers number1 pieces each .,how many flowers did he buy for the nursing home ?
vice-mayor alexander wanted to join in with the mayor 's advocacy . he organized a party and invited the whole city to attend . if he hired number0 caterers having number1 employees each how many people are working for the party ?,5 50,* number0 number1,250.0,"[32, 2, 5, 38, 39, 40, 26, 27, 28, 29, 30, 31]",3,Multiplication,vice-mayor alexander wanted to join in with the mayor 's advocacy . he organized a party and invited the whole city to attend . if he hired number0 caterers having number1 employees each,how many people are working for the party ?
after the day they were able to make number0 institutions happy . if each institution has number1 people . how many people were made happy by the mayor and vice-mayor ?,6 80,* number0 number1,480.0,"[1, 3, 7, 8, 9, 13, 15, 16, 17, 27, 28, 29]",3,Multiplication,after the day they were able to make number0 institutions happy . if each institution has number1 people .,how many people were made happy by the mayor and vice-mayor ?
dean went to the beach with his friends to enjoy the last weeks of summer . when they got to the beach they rented a house for them to stay in for a couple of weeks . if there are number0 of them including dean and each paid $ number1 for the rent how much did they pay in total ?,7 70.00,* number0 number1,490.0,"[39, 40, 41, 10, 46, 48, 49, 50, 57, 58, 59]",3,Multiplication,dean went to the beach with his friends to enjoy the last weeks of summer . when they got to the beach they rented a house for them to stay in for a couple of weeks . if there are number0 of them including dean and each paid $ number1 for the rent,how much did they pay in total ?
dean knew that they are going to stay at the beach for a while so he brought number0 sets of clothes for every week of their stay . if dean is staying for number1 weeks there how many sets of clothes did he bring ?,30 4,* number0 number1,120.0,"[32, 33, 34, 9, 41, 42, 43, 15, 16, 17, 18, 22]",3,Multiplication,dean knew that they are going to stay at the beach for a while so he brought number0 sets of clothes for every week of their stay . if dean is staying for number1 weeks there,how many sets of clothes did he bring ?
after resting they decided to go for a swim . if the depth of the water is number0 times dean 's height and he stands at number1 feet how deep was the water ?,10 6,* number0 number1,60.0,"[32, 16, 17, 18, 25, 26, 27, 30, 31]",3,Multiplication,after resting they decided to go for a swim . if the depth of the water is number0 times dean 's height and he stands at number1 feet,how deep was the water ?
mark dean 's friend decided to go for a boat ride . if the ride costs $ number0 for every mile and they travelled for number1 miles how much would the ride cost mark ?,8.00 40,* number0 number1,320.0,"[32, 33, 3, 16, 17, 18, 19, 24, 25, 26, 31]",3,Multiplication,mark dean 's friend decided to go for a boat ride . if the ride costs $ number0 for every mile and they travelled for number1 miles,how much would the ride cost mark ?
bryan has always been fond of studying rocks and minerals . he has a room full of books about and samples of the different types of rocks . number0 particular day he went in the room to take a look at his mineral samples . if he has number1 samples of minerals per shelf and he has a total of number2 shelves how many mineral samples does he have ?,1 65 7,* number1 number2,455.0,"[1, 2, 66, 67, 68, 60, 47, 48, 49, 14, 61, 52, 18, 19, 23, 59, 28, 29, 30]",3,Multiplication,bryan has always been fond of studying rocks and minerals . he has a room full of books about and samples of the different types of rocks . number0 particular day he went in the room to take a look at his mineral samples . if he has number1 samples of minerals per shelf and he has a total of number2 shelves,how many mineral samples does he have ?
bryan took a look at his books as well . if he has number0 books in each of his number1 bookshelves how many books does he have in total ?,56 9,* number0 number1,504.0,"[2, 12, 13, 14, 16, 18, 19, 20, 26, 27, 28]",3,Multiplication,bryan took a look at his books as well . if he has number0 books in each of his number1 bookshelves,how many books does he have in total ?
bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . if the stones were sold at $ number1 each how much money did bryan get in total ?,8 1785.00,* number0 number1,14280.0,"[1, 2, 3, 4, 33, 34, 35, 25, 26, 27]",3,Multiplication,bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . if the stones were sold at $ number1 each,how much money did bryan get in total ?
it is harvest season in the country . lewis whose family owns a fruit farm is busy overseeing their farmers while they are harvesting the fruits . his day starts by going to the apple orchard . the farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily . how many apples are harvested every day ?,45 8,* number0 number1,360.0,"[64, 5, 42, 43, 44, 48, 50, 51, 52, 62, 63]",3,Multiplication,it is harvest season in the country . lewis whose family owns a fruit farm is busy overseeing their farmers while they are harvesting the fruits . his day starts by going to the apple orchard . the farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily .,how many apples are harvested every day ?
next on his checklist are the strawberry fields . there he found out that they can get number0 kg of fruit for every row of strawberry plants . if there are number1 rows of strawberry plants how many kilograms of strawberries can they harvest ?,268 7,* number0 number1,1876.0,"[32, 2, 7, 41, 42, 43, 16, 17, 18, 22, 30, 31]",3,Multiplication,next on his checklist are the strawberry fields . there he found out that they can get number0 kg of fruit for every row of strawberry plants . if there are number1 rows of strawberry plants,how many kilograms of strawberries can they harvest ?
he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day . how many sacks of oranges will they have after number1 days of harvest ?,83 6,* number0 number1,498.0,"[32, 1, 33, 5, 7, 15, 16, 17, 18, 29, 30, 31]",3,Multiplication,he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day .,how many sacks of oranges will they have after number1 days of harvest ?
being his favorite he saved checking on the grapevines for his last stop . he was told by number0 the pickers that they fill number1 drums of grapes per day . how many drums of grapes would be filled in number2 days ?,1 324 9,* number1 number2,2916.0,"[1, 39, 40, 41, 9, 17, 18, 19, 20, 23, 24, 25, 28]",3,Multiplication,being his favorite he saved checking on the grapevines for his last stop . he was told by number0 the pickers that they fill number1 drums of grapes per day .,how many drums of grapes would be filled in number2 days ?
if lewis earns $ number0 every week during the number1 weeks of harvest . how much money does he earn during harvest season ?,1367.00 5,* number0 number1,6835.0,"[2, 3, 4, 5, 8, 9, 10, 20, 21, 22]",3,Multiplication,if lewis earns $ number0 every week during the number1 weeks of harvest .,how much money does he earn during harvest season ?
tyler an animal rights advocate decided to build his own animal sanctuary to protect different animals from poachers . the sanctuary was divided into different regions . the first region to be built was a bird sanctuary . initially he had number0 endangered bird species on that region . if each species has number1 pairs of birds how many pairs does he have in total ?,29 7,* number0 number1,203.0,"[64, 2, 3, 4, 40, 41, 42, 9, 44, 13, 50, 52, 53, 54, 62, 63]",3,Multiplication,tyler an animal rights advocate decided to build his own animal sanctuary to protect different animals from poachers . the sanctuary was divided into different regions . the first region to be built was a bird sanctuary . initially he had number0 endangered bird species on that region . if each species has number1 pairs of birds,how many pairs does he have in total ?
another region was the aquatic reserve for freshwater organisms . if there are number0 bodies of water in the region each having number1 different fishes how many fishes does he have in total ?,6 175,* number0 number1,1050.0,"[32, 2, 11, 12, 13, 14, 16, 20, 21, 22, 23, 24, 30, 31]",3,Multiplication,another region was the aquatic reserve for freshwater organisms . if there are number0 bodies of water in the region each having number1 different fishes,how many fishes does he have in total ?
he also had number0 aquariums for saltwater animals . each aquarium has number1 animals in it . how many saltwater animals does tyler have ?,8 64,* number0 number1,512.0,"[1, 2, 3, 4, 6, 9, 11, 12, 13, 21, 22, 23]",3,Multiplication,he also had number0 aquariums for saltwater animals . each aquarium has number1 animals in it .,how many saltwater animals does tyler have ?
the sanctuary also includes several swamp areas where most of the reptiles usually reside . if there are number0 swamps each having number1 different reptiles how many reptiles are living in the swamp areas ?,4 356,* number0 number1,1424.0,"[32, 33, 2, 6, 8, 11, 14, 17, 18, 19, 20, 21, 22, 23, 24, 31]",3,Multiplication,the sanctuary also includes several swamp areas where most of the reptiles usually reside . if there are number0 swamps each having number1 different reptiles,how many reptiles are living in the swamp areas ?
there are number0 more sections that are undeveloped . each of the remaining sections has a land area of number1 square feet . what is the total area of the undeveloped land ?,3 2435,* number0 number1,7305.0,"[1, 2, 3, 4, 9, 18, 19, 20, 29, 30, 31]",3,Multiplication,there are number0 more sections that are undeveloped . each of the remaining sections has a land area of number1 square feet .,what is the total area of the undeveloped land ?
